loss,params,n_estimators,train_time
828.317139,"{'colsample_bytree': 0.6666987351879232, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.5310656849805564, 'learning_rate': 0.02443696849728704, 'max_depth': 11, 'min_child_weight': 480, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.0690513408736042, 'reg_lambda': 0.8326320323149597, 'seed': 42, 'subsample': 0.7273505261106861, 'verbose_eval': 0}",249,13.01066541671753
830.368713,"{'colsample_bytree': 0.6637672612204054, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.1354255441483898, 'learning_rate': 0.185388446201816, 'max_depth': 13, 'min_child_weight': 35, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.9328679988478337, 'reg_lambda': 0.727725743177325, 'seed': 42, 'subsample': 0.7050519794266569, 'verbose_eval': 0}",26,2.698741912841797
827.579407,"{'colsample_bytree': 0.7414349590513672, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.34577134569643786, 'learning_rate': 0.012052329743285435, 'max_depth': 9, 'min_child_weight': 220, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.30341010988417494, 'reg_lambda': 0.883315277380862, 'seed': 42, 'subsample': 0.9186941777766421, 'verbose_eval': 0}",240,9.798946619033813
827.566589,"{'colsample_bytree': 0.6916680829445732, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.5917128091967203, 'learning_rate': 0.08593418369037455, 'max_depth': 10, 'min_child_weight': 435, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.10485915855270356, 'reg_lambda': 0.9187225216693768, 'seed': 42, 'subsample': 0.7224162561505758, 'verbose_eval': 0}",30,2.0732812881469727
827.496765,"{'colsample_bytree': 0.7353685613650988, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.2239683373980323, 'learning_rate': 0.013354895284079954, 'max_depth': 7, 'min_child_weight': 95, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.5980470775121279, 'reg_lambda': 0.17187156139656068, 'seed': 42, 'subsample': 0.9061979941786815, 'verbose_eval': 0}",519,16.769705772399902
827.355713,"{'colsample_bytree': 0.8764422099384184, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.38273026515327574, 'learning_rate': 0.010425131802423887, 'max_depth': 5, 'min_child_weight': 405, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.5266202371276923, 'reg_lambda': 0.43802918644092326, 'seed': 42, 'subsample': 0.8997767208035865, 'verbose_eval': 0}",786,19.026801347732544
827.446045,"{'colsample_bytree': 0.754249991580144, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.7491432402101252, 'learning_rate': 0.18994567361619538, 'max_depth': 6, 'min_child_weight': 125, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.16360717863855023, 'reg_lambda': 0.9393697376027715, 'seed': 42, 'subsample': 0.8670140089927841, 'verbose_eval': 0}",34,1.463653802871704
828.576355,"{'colsample_bytree': 0.7319728089037019, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.3315893308963161, 'learning_rate': 0.03193695860293138, 'max_depth': 13, 'min_child_weight': 45, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.3590229319214039, 'reg_lambda': 0.7753643788278823, 'seed': 42, 'subsample': 0.8085396792511581, 'verbose_eval': 0}",62,5.0710461139678955
827.607117,"{'colsample_bytree': 0.9473576099449428, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.5420698480825459, 'learning_rate': 0.05319639503684146, 'max_depth': 7, 'min_child_weight': 440, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.49646670359671663, 'reg_lambda': 0.9200092264373162, 'seed': 42, 'subsample': 0.7717015338451563, 'verbose_eval': 0}",130,5.124220848083496
828.216187,"{'colsample_bytree': 0.6373266141733094, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.7617048360418723, 'learning_rate': 0.17319946765187128, 'max_depth': 11, 'min_child_weight': 100, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.8716519284632148, 'reg_lambda': 0.7006214446213659, 'seed': 42, 'subsample': 0.977738993154964, 'verbose_eval': 0}",10,1.237321138381958
827.544739,"{'colsample_bytree': 0.9002218809540213, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 2.2797700418642646, 'learning_rate': 0.13091922967726333, 'max_depth': 7, 'min_child_weight': 450, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.7412827443680272, 'reg_lambda': 0.8178300196637514, 'seed': 42, 'subsample': 0.5018151536273716, 'verbose_eval': 0}",26,1.5525538921356201
827.792725,"{'colsample_bytree': 0.6800782002613672, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.5855860178178287, 'learning_rate': 0.08628400750991994, 'max_depth': 13, 'min_child_weight': 265, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.4865137983725186, 'reg_lambda': 0.3584815225733641, 'seed': 42, 'subsample': 0.9395679435990226, 'verbose_eval': 0}",32,2.755394458770752
827.579651,"{'colsample_bytree': 0.68630156913909, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.0053064371696063, 'learning_rate': 0.03178993470692279, 'max_depth': 14, 'min_child_weight': 380, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.9602087979216042, 'reg_lambda': 0.3072581638887394, 'seed': 42, 'subsample': 0.9407392088164706, 'verbose_eval': 0}",85,5.899588584899902
829.063782,"{'colsample_bytree': 0.8341861284015516, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.16784381469671955, 'learning_rate': 0.016841022263257087, 'max_depth': 9, 'min_child_weight': 20, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.8501355739374976, 'reg_lambda': 0.013183035637853835, 'seed': 42, 'subsample': 0.7635549038733036, 'verbose_eval': 0}",114,5.687333822250366
828.540833,"{'colsample_bytree': 0.9866756547638622, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 2.2647517961039436, 'learning_rate': 0.19679560439522187, 'max_depth': 10, 'min_child_weight': 85, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.23798376914034236, 'reg_lambda': 0.9209817283659104, 'seed': 42, 'subsample': 0.8185170157120633, 'verbose_eval': 0}",30,2.508676052093506
827.594482,"{'colsample_bytree': 0.8740749956330458, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.7057748759329963, 'learning_rate': 0.026614021775729663, 'max_depth': 4, 'min_child_weight': 115, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.36932832638337254, 'reg_lambda': 0.6400100015740248, 'seed': 42, 'subsample': 0.7916846428209146, 'verbose_eval': 0}",109,2.515246868133545
827.444092,"{'colsample_bytree': 0.6108794408072066, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.7669779854439895, 'learning_rate': 0.02595985835019706, 'max_depth': 7, 'min_child_weight': 245, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.2907619578990923, 'reg_lambda': 0.12470065927231533, 'seed': 42, 'subsample': 0.7579160559651983, 'verbose_eval': 0}",147,4.762108564376831
828.924377,"{'colsample_bytree': 0.9522658000085463, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 0.1090140465625869, 'learning_rate': 0.151686324922124, 'max_depth': 10, 'min_child_weight': 50, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.49531114193189174, 'reg_lambda': 0.6810391246607139, 'seed': 42, 'subsample': 0.8460552260356344, 'verbose_eval': 0}",14,1.614894151687622
828.708557,"{'colsample_bytree': 0.9313111860591826, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 2.3889837679231256, 'learning_rate': 0.14960433921802094, 'max_depth': 10, 'min_child_weight': 140, 'nthread': 13, 'objective': 'reg:tweedie', 'reg_alpha': 0.8107922223665097, 'reg_lambda': 0.6946896343853821, 'seed': 42, 'subsample': 0.6440692051407406, 'verbose_eval': 0}",31,2.7454750537872314
827.485962,"{'colsample_bytree': 0.7567623450279608, 'early_stopping_rounds': 20, 'eval_metric': 'rmse', 'gamma': 1.143176736176723, 'learning_rate': 0.08269505045952408, 'max_depth': 11, 'min_child_weight': 190, 'nthread': 13, 'objective': 'reg:squarederror', 'reg_alpha': 0.8398830119506808, 'reg_lambda': 0.8751118984907046, 'seed': 42, 'subsample': 0.6988929346659627, 'verbose_eval': 0}",29,2.431211471557617
